docid	allwords	stanfordwords
mdp.39015063561586	57056	1586
uiuo.ark+=13960=t8nc6b618	47093	1138
uc1.$b473613	84661	4248
nyp.33433074931597	73251	2434
loc.ark+=13960=t08w4945p	3260	136
dul1.ark+=13960=t89g6ct7k	28584	656
mdp.39015062378909	65033	4865
uc2.ark+=13960=t45q53b1s	116623	4240
dul1.ark+=13960=t4vh67297	79583	758
mdp.39015061469139	82842	5055
nyp.33433081652574	74728	2682
uc1.$b301045	89011	5235
nyp.33433074861935	104830	5639
nyp.33433074856836	84146	4446
pst.000005752546	145491	7968
uc1.$b248787	11177	708
mdp.39015060836171	87769	5608
uc1.$b101946	240225	17131
mdp.39015033493647	50350	3541
nyp.33433076025943	78681	2586
pst.000014560620	91480	6195
mdp.39015048717071	49417	2734
uc2.ark+=13960=t21c1v37w	119218	10729
nyp.33433074866561	116107	5313
pst.000005733071	93949	6959
nyp.33433074793831	97028	4480
nyp.33433082303151	29238	1494
uiuo.ark+=13960=t75t4866z	67891	1686
nyp.33433074862305	118090	4092
uiuo.ark+=13960=t44q88r9x	66459	1472
mdp.39015001153629	84190	4119
coo.31924064998069	58576	2060
uc2.ark+=13960=t4nk38459	15302	241
dul1.ark+=13960=t9g45ch9h	87194	6042
uc1.$b555827	68772	5117
uc2.ark+=13960=t4rj4ck98	59262	1718
uc1.$b3181	65365	3686
uc2.ark+=13960=t8mc8ss07	55155	1924
nyp.33433074852835	91723	3328
uc2.ark+=13960=t74t6gp9m	61691	2753
mdp.39015028435223	123410	9027
uiuo.ark+=13960=t9j393d7p	91056	2308
uiuo.ark+=13960=t1ng57g58	67071	2907
uiuo.ark+=13960=t7zk5z02q	29525	932
mdp.39015012190651	85566	3715
pst.000004786689	87287	6698
uc2.ark+=13960=t4bp02s9c	212110	9649
uc2.ark+=13960=t7xk8n82d	341029	11790
mdp.39015061866318	61680	4712
inu.39000003642282	34976	1765
mdp.39015059119886	115616	8738
pst.000005455102	51896	2560
mdp.39015049744967	184462	12942
uiuo.ark+=13960=t3bz6v35r	65381	1932
uiuo.ark+=13960=t0qr5fj5r	51959	1607
mdp.39015018520398	132498	9429
mdp.39015001610354	70161	4408
mdp.39015060075960	48495	2983
uc1.b3741192	97673	3706
uc1.32106018712015	145967	13071
mdp.39015066783013	32417	1904
mdp.39015065707187	121561	9508
uc1.b3626218	57523	1941
uc2.ark+=13960=t51g0v51c	135853	6364
mdp.39015048891959	296653	19506
uiuo.ark+=13960=t04x5pc89	53258	973
mdp.39015064003018	242083	6979
uc2.ark+=13960=t0sq8zn5q	123151	5776
uiuo.ark+=13960=t67375c09	60915	1794
inu.30000052999335	33473	1785
inu.39000000277678	45040	2762
nnc1.0036685208	59908	1658
uc2.ark+=13960=t7dr2sh01	122213	6247
mdp.39015018053242	187686	6546
pst.000021382758	212399	11735
mdp.39015048712163	59044	4062
mdp.39015063918133	92621	4819
mdp.39015055883816	141663	9862
uiuo.ark+=13960=t5j96f67z	67893	1385
mdp.39015065769393	40926	762
uc2.ark+=13960=t9862cj28	64948	2151
uc2.ark+=13960=t31261n0t	158681	8063
umn.31951002102922y	67326	4193
njp.32101068163615	69197	1775
mdp.39015010397001	252847	9882
uc2.ark+=13960=t1sf2qf1f	64751	3719
nyp.33433074929476	108041	4458
wu.89098877509	133630	5314
uc1.32106011486914	132216	8035
uva.x001850551	57905	3098
nyp.33433076059850	86811	4664
mdp.39015035016099	22062	1008
uiuo.ark+=13960=t2x354s13	89256	3245
uc1.b3336986	162091	7779
nyp.33433076079304	98472	3728
mdp.39015035319808	244010	11569
uc1.$b104884	129458	9066
nyp.33433076086028	70383	3103
uc1.$b28759	29274	1387
mdp.39015002203357	79017	5290
nyp.33433067303812	47073	1636
mdp.39015024079116	50784	2556
nyp.33433074870647	119952	5764
uc2.ark+=13960=t6j100k2b	87290	1994
uc2.ark+=13960=t1hh6mf0f	120715	3901
njp.32101068162740	137818	6329
mdp.39015019429110	108188	10753
uc2.ark+=13960=t46q29319	116676	4702
mdp.39015078783464	92326	5960
uiuo.ark+=13960=t3st83j7v	67953	2424
inu.30000081189692	21767	1216
mdp.39015062686400	57047	1094
uc1.$b116512	120236	7664
njp.32101072911082	87940	190
mdp.39015063963261	81829	4942
nyp.33433082346044	54772	3491
pst.000005412082	120062	7168
mdp.39015010950544	69088	1995
uc1.$b254220	46991	1206
njp.32101079836282	11453	594
njp.32101067627867	48054	1792
hvd.rslysq	129043	2285
inu.32000000646036	184595	197
mdp.39015063268497	60149	3386
inu.32000002882670	260090	11289
uc1.$b242644	116614	5305
mdp.39015016424148	43121	861
uc1.b4360963	146268	9885
uiuo.ark+=13960=t7hq4g562	35464	1053
uc1.b4105203	55815	2745
mdp.39015057087648	81940	5312
hvd.hnnzl8	589597	25438
uiuo.ark+=13960=t7qn6pk7b	68757	1700
uiuo.ark+=13960=t10p1rt7k	52609	1015
uc1.b4463842	72506	4108
nnc1.1002272601	77011	2931
uc2.ark+=13960=t2d796f7k	34546	1428
hvd.32044004973814	116786	5554
uc1.$b358650	353553	10306
uc1.31158001441749	70231	1919
uc2.ark+=13960=t1rf5nw94	58186	1688
uiuo.ark+=13960=t9h427g45	75828	5964
njp.32101068142791	18309	830
uc1.$b521788	55684	3077
nyp.33433074871793	85258	3052
nyp.33433006216364	163655	9720
osu.32435069549608	181829	9663
nyp.33433074930110	137794	5742
nyp.33433074824370	81825	3302
uc1.b3711256	107406	6861
mdp.39015030709128	157903	8941
nyp.33433082361951	100269	5595
